"","filename","Date","Time","Site","Unit ID","User ID","°F-21A104910","mmHg-21A105443","DO %-21A106679","DO mg/L-21A106679","SPC-uS/cm-21A104910","C-uS/cm-21A104910","nLFC-uS/cm-21A104910","ohm-cm-21A104910","TDS mg/L-21A104910","SAL-PSU-21A104910","Density-21A104910","Density-T-21A104910","pH-21B101988","pH mV-21B101988","Phycocyanin RFU-21B101736","Phycocyanin ug/L-21B101736","Chlorophyll RFU-21B101736","Chlorophyll ug/L-21B101736","DEP m-20M103012","Vpos m-20M103012"
"1643","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:50:30,"Tank 33","Strauss lab 1",NA,65.824,753.2,116.4,10.84,149.9,132.1,151.5,7567,97,0.07,-1.5,-1.5,9.47,-238.2,1.34,1.33,10.78,44.58,-0.022,-0.037
"1644","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:50:33,"Tank 33","Strauss lab 1",NA,65.6,753.2,130.1,12.15,154.5,135.8,156.1,7365,100,0.07,-1.5,-1.5,9.52,-240.8,1.28,1.27,10.78,44.58,-0.018,-0.025
"1645","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:50:36,"Tank 33","Strauss lab 1",NA,65.42,753.4,135.2,12.64,155.3,136.2,157,7342,101,0.07,-1.5,-1.5,9.58,-244.3,1.33,1.32,11.19,46.3,-0.019,-0.025
"1646","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:50:39,"Tank 33","Strauss lab 1",NA,65.219,753.2,145.2,13.61,155.9,136.4,157.6,7332,101,0.07,-1.4,-1.4,9.65,-248.4,1.3,1.29,11.26,46.59,-0.024,-0.027
"1647","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:50:42,"Tank 33","Strauss lab 1",NA,65.202,753.3,148.7,13.94,156.1,136.5,157.8,7325,101,0.07,-1.4,-1.4,9.71,-251.8,1.37,1.36,11.3,46.76,-0.025,-0.025
"1648","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:51:56,"Tank 20","Strauss lab 1",NA,66.624,753.3,109.4,10.09,149.2,132.8,150.7,7530,97,0.07,-1.6,-1.6,9.35,-231.3,1.04,1.03,6.49,26.72,-0.021,-0.014
"1649","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:51:59,"Tank 20","Strauss lab 1",NA,66.472,753.3,114.6,10.6,149.6,132.9,151.1,7524,97,0.07,-1.6,-1.6,9.38,-233,1.05,1.04,6.59,27.16,-0.023,-0.018
"1650","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:52:02,"Tank 20","Strauss lab 1",NA,66.136,753.2,119,11.03,150.4,133.1,152,7515,98,0.07,-1.5,-1.5,9.41,-234.8,1.02,1.01,7.5,30.95,-0.024,-0.036
"1651","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:52:05,"Tank 20","Strauss lab 1",NA,65.86,753.3,121,11.26,150.7,132.9,152.3,7526,98,0.07,-1.5,-1.5,9.44,-236.2,1.08,1.07,6.63,27.3,-0.021,-0.025
"1652","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:52:08,"Tank 20","Strauss lab 1",NA,65.693,753.3,122.7,11.44,150.5,132.4,152.1,7552,98,0.07,-1.5,-1.5,9.46,-237.2,1.1,1.09,6.59,27.15,-0.021,-0.026
"1653","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:54:49,"Tank 04","Strauss lab 1",NA,67.348,753.3,118.2,10.82,150.9,135.4,152.3,7385,98,0.07,-1.7,-1.7,9.07,-215.8,0.18,0.16,2.29,9.27,-0.024,-0.012
"1654","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:54:52,"Tank 04","Strauss lab 1",NA,67.318,753.3,119.7,10.96,149.9,134.5,151.3,7433,97,0.07,-1.7,-1.7,9.12,-218.6,0.15,0.12,1.96,7.87,-0.022,-0.004
"1655","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:54:55,"Tank 04","Strauss lab 1",NA,67.058,753.3,126.5,11.61,148.5,132.8,149.9,7530,96,0.07,-1.6,-1.6,9.17,-221.4,0.14,0.12,1.12,4.39,-0.022,-0.03
"1656","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:54:58,"Tank 04","Strauss lab 1",NA,66.749,753.2,130.4,12.01,147.3,131.3,148.7,7618,96,0.07,-1.6,-1.6,9.22,-223.8,0.17,0.15,1.56,6.23,-0.023,-0.037
"1657","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:55:01,"Tank 04","Strauss lab 1",NA,66.501,753.3,132.5,12.25,144.4,128.3,145.9,7792,94,0.07,-1.6,-1.6,9.25,-226,0.17,0.15,1.57,6.26,-0.021,-0.024
"1658","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:55:04,"Tank 04","Strauss lab 1",NA,66.453,753.2,134,12.39,146.2,129.9,147.7,7701,95,0.07,-1.6,-1.6,9.29,-228,0.27,0.25,1.51,5.99,-0.023,-0.006
"1659","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:55:07,"Tank 04","Strauss lab 1",NA,66.43,753.2,135.3,12.51,147.8,131.3,149.3,7618,96,0.07,-1.6,-1.6,9.33,-230,0.19,0.16,1.59,6.33,-0.026,-0.019
"1660","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:56:16,"Tank 03","Strauss lab 1",NA,66.105,753.3,105.3,9.78,156.2,138.1,157.8,7241,102,0.07,-1.5,-1.5,9.15,-219.7,0.58,0.56,1.66,6.64,-0.023,-0.027
"1661","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:56:19,"Tank 03","Strauss lab 1",NA,66.057,753.2,108.4,10.07,156.4,138.3,158.1,7232,102,0.07,-1.5,-1.5,9.17,-221.1,0.4,0.38,1.83,7.33,-0.023,-0.03
"1662","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:56:22,"Tank 03","Strauss lab 1",NA,65.909,753.3,115.9,10.78,156.7,138.2,158.3,7235,102,0.07,-1.5,-1.5,9.2,-222.5,0.43,0.41,0.4,1.41,-0.022,-0.011
"1663","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:56:25,"Tank 03","Strauss lab 1",NA,65.783,753.3,120.2,11.2,156.9,138.2,158.5,7236,102,0.07,-1.5,-1.5,9.23,-224.5,0.37,0.35,1.65,6.61,-0.023,-0.007
"1664","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:56:28,"Tank 03","Strauss lab 1",NA,65.628,753.2,122.4,11.42,157,138,158.7,7245,102,0.07,-1.5,-1.5,9.27,-226.7,0.36,0.34,2.25,9.08,-0.025,-0.03
"1665","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:56:31,"Tank 03","Strauss lab 1",NA,65.616,753.3,124.3,11.6,156.8,137.8,158.5,7255,102,0.07,-1.5,-1.5,9.3,-228.5,0.34,0.32,1.29,5.11,-0.025,-0.039
"1666","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:58:00,"Tank 01","Strauss lab 1",NA,66.339,753.2,110.2,10.2,151.3,134.2,152.8,7453,98,0.07,-1.6,-1.6,9.12,-218.3,0.51,0.49,3.88,15.85,-0.023,-0.039
"1667","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:58:03,"Tank 01","Strauss lab 1",NA,66.417,753.3,115.1,10.64,151.2,134.2,152.8,7449,98,0.07,-1.6,-1.6,9.14,-219.5,0.4,0.38,2.46,9.97,-0.02,-0.015
"1668","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:58:06,"Tank 01","Strauss lab 1",NA,66.335,753.2,117.4,10.87,131,116.2,132.3,8609,85,0.06,-1.6,-1.6,9.18,-221.5,0.38,0.35,1.97,7.93,-0.019,-0.012
"1669","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:58:09,"Tank 01","Strauss lab 1",NA,66.14,753.2,119.4,11.07,144.9,128.2,146.4,7799,94,0.07,-1.5,-1.5,9.21,-223.5,0.39,0.37,2.76,11.23,-0.023,-0.027
"1670","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:58:12,"Tank 01","Strauss lab 1",NA,65.886,753.3,125.6,11.69,148.8,131.3,150.4,7617,97,0.07,-1.5,-1.5,9.25,-225.4,0.46,0.44,3.11,12.68,-0.024,-0.015
"1671","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:58:15,"Tank 01","Strauss lab 1",NA,65.821,753.3,127.2,11.84,149.8,132,151.4,7575,97,0.07,-1.5,-1.5,9.28,-227.2,0.54,0.52,2.48,10.03,-0.024,-0.015
"1672","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 071422 152130.csv","7/14/22",11:58:18,"Tank 01","Strauss lab 1",NA,65.796,753.2,128.3,11.95,150.6,132.7,152.2,7536,98,0.07,-1.5,-1.5,9.3,-228.6,0.62,0.6,3.3,13.47,-0.024,-0.03
"1673","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:11:31,"Tank 29","Strauss lab 1",NA,71.639,751.1,114.4,9.99,153.3,144.6,154.2,6916,100,0.07,-2.2,-2.2,6.82,-87.3,0.34,0.31,1.11,4.35,-0.039,-0.023
"1674","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:11:34,"Tank 29","Strauss lab 1",NA,71.64,751.1,115,10.04,153.4,144.7,154.3,6911,100,0.07,-2.2,-2.2,6.86,-89.7,0.43,0.41,4.74,19.47,-0.038,-0.046
"1675","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:11:37,"Tank 29","Strauss lab 1",NA,71.641,751.1,115.5,10.09,153.5,144.8,154.4,6906,100,0.07,-2.2,-2.2,6.9,-91.9,0.33,0.31,0.47,1.69,-0.041,-0.051
"1676","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:11:40,"Tank 29","Strauss lab 1",NA,71.638,751,115.9,10.13,153.6,144.8,154.4,6904,100,0.07,-2.2,-2.2,6.94,-94.1,0.42,0.4,3.52,14.39,-0.037,-0.029
"1677","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:11:43,"Tank 29","Strauss lab 1",NA,71.637,751.1,116.3,10.16,153.6,144.9,154.5,6902,100,0.07,-2.2,-2.2,6.97,-96.2,0.41,0.39,2.46,9.95,-0.04,-0.025
"1678","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:11:46,"Tank 29","Strauss lab 1",NA,71.635,751.1,116.6,10.19,153.7,144.9,154.5,6900,100,0.07,-2.2,-2.2,7.01,-98.3,0.48,0.46,1.9,7.65,-0.041,-0.046
"1679","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:13:24,"Tank 45","Strauss lab 1",NA,71.323,751,101.5,8.9,153.1,143.9,154,6948,100,0.07,-2.1,-2.1,7.26,-112.9,0.26,0.24,2.18,8.81,-0.039,-0.024
"1680","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:13:27,"Tank 45","Strauss lab 1",NA,71.326,751.1,102.5,8.98,153.3,144.1,154.2,6942,100,0.07,-2.1,-2.1,7.27,-113.5,0.21,0.19,2.42,9.81,-0.039,-0.03
"1681","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:13:30,"Tank 45","Strauss lab 1",NA,71.328,751,103.1,9.04,153.4,144.1,154.2,6938,100,0.07,-2.1,-2.1,7.29,-114.2,0.23,0.2,1.77,7.08,-0.042,-0.03
"1682","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:13:33,"Tank 45","Strauss lab 1",NA,71.327,751.1,103.6,9.08,153.5,144.2,154.4,6934,100,0.07,-2.1,-2.1,7.3,-114.8,0.26,0.24,1.81,7.24,-0.042,-0.049
"1683","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:13:36,"Tank 45","Strauss lab 1",NA,71.327,751.1,103.9,9.11,153.5,144.3,154.4,6931,100,0.07,-2.1,-2.1,7.31,-115.4,0.31,0.29,1.75,7,-0.042,-0.05
"1684","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:13:39,"Tank 45","Strauss lab 1",NA,71.328,751,104.2,9.14,153.5,144.3,154.4,6931,100,0.07,-2.1,-2.1,7.32,-115.9,0.3,0.28,10.28,42.5,-0.039,-0.043
"1685","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:15:51,"Tank 63","Strauss lab 1",NA,70.885,751,121,10.65,149.8,140.1,150.8,7137,97,0.07,-2.1,-2.1,7.87,-147.8,0.27,0.25,0.73,2.76,-0.04,-0.042
"1686","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:15:54,"Tank 63","Strauss lab 1",NA,70.887,750.9,121.3,10.68,151,141.2,151.9,7083,98,0.07,-2.1,-2.1,7.9,-149.4,0.29,0.26,0.7,2.62,-0.042,-0.03
"1687","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:15:57,"Tank 63","Strauss lab 1",NA,70.888,750.9,121.6,10.71,152.2,142.4,153.2,7024,99,0.07,-2.1,-2.1,7.93,-150.9,0.32,0.3,0.7,2.64,-0.043,-0.046
"1688","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:16:00,"Tank 63","Strauss lab 1",NA,70.889,751,121.9,10.74,153.8,143.9,154.8,6951,100,0.07,-2.1,-2.1,7.95,-152.3,0.18,0.15,0.69,2.59,-0.045,-0.058
"1689","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:16:03,"Tank 63","Strauss lab 1",NA,70.891,751,122.2,10.76,154.5,144.5,155.5,6919,100,0.07,-2.1,-2.1,7.98,-153.7,0.11,0.09,0.65,2.45,-0.043,-0.044
"1690","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:16:06,"Tank 63","Strauss lab 1",NA,70.893,751.1,122.4,10.78,154.7,144.6,155.6,6914,101,0.07,-2.1,-2.1,8,-155,0.06,0.04,0.52,1.87,-0.043,-0.027
"1691","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:16:09,"Tank 63","Strauss lab 1",NA,70.895,751.1,122.6,10.8,154.7,144.7,155.7,6910,101,0.07,-2.1,-2.1,8.02,-156.4,0.14,0.12,0.48,1.74,-0.045,-0.036
"1692","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:18:05,"Tank 31","Strauss lab 1",NA,70.764,750.9,107.8,9.51,157.1,146.7,158.1,6818,102,0.07,-2.1,-2.1,8.03,-156.9,0.15,0.13,1.2,4.71,-0.039,-0.038
"1693","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:18:08,"Tank 31","Strauss lab 1",NA,70.765,751.1,108.5,9.57,157.2,146.8,158.2,6813,102,0.07,-2.1,-2.1,8.03,-157.1,0.17,0.15,1.15,4.52,-0.039,-0.03
"1694","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:18:11,"Tank 31","Strauss lab 1",NA,70.767,751.1,109,9.62,157.2,146.8,158.2,6811,102,0.07,-2.1,-2.1,8.04,-157.4,0.24,0.22,1.15,4.51,-0.04,-0.025
"1695","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:18:14,"Tank 31","Strauss lab 1",NA,70.769,751.1,109.5,9.65,157.2,146.8,158.2,6812,102,0.07,-2.1,-2.1,8.04,-157.7,0.28,0.26,1.21,4.76,-0.043,-0.047
"1696","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:18:17,"Tank 31","Strauss lab 1",NA,70.769,751.1,109.8,9.69,157.1,146.7,158.1,6816,102,0.07,-2.1,-2.1,8.05,-157.9,0.36,0.34,1.25,4.93,-0.043,-0.058
"1697","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:18:20,"Tank 31","Strauss lab 1",NA,70.769,751,110.1,9.71,157,146.6,158,6822,102,0.07,-2.1,-2.1,8.05,-158.2,0.42,0.4,1.2,4.72,-0.041,-0.044
"1698","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:18:23,"Tank 31","Strauss lab 1",NA,70.769,751,110.4,9.73,156.9,146.6,157.9,6823,102,0.07,-2.1,-2.1,8.06,-158.4,0.33,0.31,1.35,5.33,-0.042,-0.047
"1699","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:22:06,"Tank 36","Strauss lab 1",NA,63.166,751.1,132,12.67,150.6,128.5,152.5,7784,98,0.07,-1.2,-1.2,8.77,-197.8,0.35,0.33,2.84,11.56,-0.042,-0.048
"1700","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:22:09,"Tank 36","Strauss lab 1",NA,63.184,751.1,134.2,12.88,150.6,128.5,152.5,7782,98,0.07,-1.2,-1.2,8.81,-200,0.31,0.28,2.81,11.43,-0.041,-0.033
"1701","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:22:12,"Tank 36","Strauss lab 1",NA,63.19,751.1,135.7,13.02,150.5,128.5,152.4,7784,98,0.07,-1.2,-1.2,8.84,-201.6,0.37,0.35,3.13,12.75,-0.039,-0.024
"1702","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:22:15,"Tank 36","Strauss lab 1",NA,63.183,751.1,137.1,13.16,150.5,128.4,152.4,7785,98,0.07,-1.2,-1.2,8.86,-203.1,0.43,0.41,2.98,12.11,-0.042,-0.039
"1703","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:22:18,"Tank 36","Strauss lab 1",NA,63.175,751.1,138.3,13.27,150.5,128.4,152.4,7789,98,0.07,-1.2,-1.2,8.89,-204.5,0.51,0.49,3.26,13.28,-0.043,-0.034
"1704","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:22:21,"Tank 36","Strauss lab 1",NA,63.174,751.1,139.3,13.37,150.5,128.4,152.4,7789,98,0.07,-1.2,-1.2,8.91,-205.7,0.47,0.45,3.1,12.62,-0.042,-0.033
"1705","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:24:24,"Tank 04","Strauss lab 1",NA,63.633,751,156.4,14.93,154.1,132.3,156,7560,100,0.07,-1.3,-1.3,9.06,-214.3,0.51,0.49,3.5,14.29,-0.042,-0.039
"1706","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:24:27,"Tank 04","Strauss lab 1",NA,63.638,751,157.8,15.06,154.3,132.4,156.2,7553,100,0.07,-1.3,-1.3,9.09,-216.1,0.59,0.57,3.98,16.29,-0.043,-0.046
"1707","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:24:30,"Tank 04","Strauss lab 1",NA,63.64,751,159.5,15.22,154.2,132.4,156.1,7554,100,0.07,-1.3,-1.3,9.12,-217.4,0.52,0.5,2.87,11.66,-0.043,-0.048
"1708","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:24:33,"Tank 04","Strauss lab 1",NA,63.645,750.9,161,15.37,154.2,132.4,156.1,7556,100,0.07,-1.3,-1.3,9.14,-218.6,0.61,0.59,2.55,10.36,-0.043,-0.045
"1709","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:24:36,"Tank 04","Strauss lab 1",NA,63.649,751,162.2,15.48,154.2,132.4,156.1,7555,100,0.07,-1.3,-1.3,9.15,-219.5,0.56,0.54,4.66,19.11,-0.043,-0.035
"1710","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:24:39,"Tank 04","Strauss lab 1",NA,63.653,751,163.4,15.59,154.2,132.4,156.1,7555,100,0.07,-1.3,-1.3,9.17,-220.4,0.63,0.61,3.72,15.22,-0.043,-0.032
"1711","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:26:22,"Tank 01","Strauss lab 1",NA,63.199,751.1,136.8,13.13,76,64.9,76.9,15418,49,0.03,-1.3,-1.3,8.98,-209.5,1.07,1.06,8.38,34.61,-0.044,-0.047
"1712","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:26:25,"Tank 01","Strauss lab 1",NA,63.235,751,138.6,13.3,80.6,68.8,81.6,14531,52,0.04,-1.3,-1.3,8.99,-210,1.01,1,7.08,29.18,-0.044,-0.035
"1713","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:26:28,"Tank 01","Strauss lab 1",NA,63.242,750.9,139.9,13.42,146.5,125.1,148.3,7995,95,0.07,-1.2,-1.2,8.99,-210.3,1.02,1.01,6.77,27.88,-0.043,-0.048
"1714","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:26:31,"Tank 01","Strauss lab 1",NA,63.24,751,140.9,13.51,152.1,129.9,154,7701,99,0.07,-1.2,-1.2,9,-210.7,1.09,1.07,8.85,36.57,-0.044,-0.047
"1715","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:26:34,"Tank 01","Strauss lab 1",NA,63.209,751.1,141.8,13.6,152.2,130,154.2,7694,99,0.07,-1.2,-1.2,9,-211,1.1,1.08,5.11,20.97,-0.044,-0.035
"1716","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:26:37,"Tank 01","Strauss lab 1",NA,63.206,751,142.6,13.68,152.2,129.9,154.1,7696,99,0.07,-1.2,-1.2,9.01,-211.2,1.11,1.1,7.01,28.91,-0.044,-0.031
"1717","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:28:27,"Tank 14","Strauss lab 1",NA,70.841,751.1,136.6,12.04,167.9,157,169,6371,109,0.08,-2.1,-2.1,8.57,-187.8,0.52,0.5,2.21,8.94,-0.045,-0.049
"1718","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:28:30,"Tank 14","Strauss lab 1",NA,70.841,751,137.8,12.15,168,157,169.1,6368,109,0.08,-2.1,-2.1,8.58,-188.6,0.52,0.5,3.34,13.61,-0.044,-0.051
"1719","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:28:33,"Tank 14","Strauss lab 1",NA,70.84,751.1,138.8,12.23,168.1,157.1,169.1,6367,109,0.08,-2.1,-2.1,8.59,-189.2,0.46,0.44,2.34,9.48,-0.044,-0.057
"1720","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:28:36,"Tank 14","Strauss lab 1",NA,70.839,751.1,139.5,12.3,168.1,157.1,169.1,6366,109,0.08,-2.1,-2.1,8.6,-189.8,0.44,0.42,1.9,7.65,-0.042,-0.035
"1721","/Users/dcsuh/Documents/GitHub/tanks/data/raw_data/ysi_data/Kor Measurement File Export - 072122 124926.csv","7/18/22",09:28:39,"Tank 14","Strauss lab 1",NA,70.837,751.1,140.2,12.36,168.1,157.1,169.2,6365,109,0.08,-2.1,-2.1,8.61,-190.3,0.49,0.47,2.54,10.28,-0.044,-0.039
